playerId,skaterFullName,lastName,positionCode,teamAbbrevs,gamesPlayed,shootsCatches,satPercentageClose,satPercentageTied,usatPercentageTied,usatPercentageClose,gameWinningGoals,otGoals,shGoals,headshot,logo,satPercentageClosePercentile,satPercentageTiedPercentile,usatPercentageTiedPercentile,usatPercentageClosePercentile,gameWinningGoalsPercentile,tiedPercentile,closePercentile,final,finalRank,clutch_performance
8479066,Ryan Lomberg,Lomberg,L,FLA,76,L,50.5,51.2,47.4,48.4,2,0,0,https://assets.nhle.com/mugs/nhl/20232024/FLA/8479066.png,https://assets.nhle.com/logos/nhl/svg/FLA_dark.svg,57.63,61.97,33.37,40.15,56.04,47.67,48.89,51.38,234.5,0
8481540,Cole Caufield,Caufield,R,MTL,82,R,49.8,48.9,48.3,48.6,7,3,0,https://assets.nhle.com/mugs/nhl/20232024/MTL/8481540.png,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,50.53,43.75,38.45,41.63,94.6,41.1,46.08,63.99,144.0,0
8479393,Noah Gregor,Gregor,C,TOR,63,L,44.3,43.4,40.400000000000006,43.8,1,0,1,https://assets.nhle.com/mugs/nhl/20232024/TOR/8479393.png,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,17.48,13.45,4.87,13.88,37.18,9.16,15.68,22.32,402.0,0
8476539,Jonathan Marchessault,Marchessault,R,VGK,87,R,48.699999999999996,47.699999999999996,49.7,50.4,5,2,0,https://assets.nhle.com/mugs/nhl/20232024/VGK/8476539.png,https://assets.nhle.com/logos/nhl/svg/VGK_dark.svg,43.11,38.14,51.17,56.57,88.67,44.66,49.84,63.82,145.0,0
8478873,Troy Terry,Terry,R,ANA,76,R,48.5,45.6,45.9,48.9,5,1,0,https://assets.nhle.com/mugs/nhl/20232024/ANA/8478873.png,https://assets.nhle.com/logos/nhl/svg/ANA_dark.svg,41.74,24.89,26.59,44.7,88.67,25.74,43.22,56.16,205.0,0
8480281,Alexey Toropchenko,Toropchenko,R,STL,82,L,40.0,39.4,41.0,41.3,1,0,2,https://assets.nhle.com/mugs/nhl/20232024/STL/8480281.png,https://assets.nhle.com/logos/nhl/svg/STL_dark.svg,2.97,3.18,6.99,4.87,37.18,5.08,3.92,17.57,422.0,0
8479525,Ross Colton,Colton,C,COL,85,L,53.5,53.300000000000004,53.5,53.300000000000004,2,0,0,https://assets.nhle.com/mugs/nhl/20232024/COL/8479525.png,https://assets.nhle.com/logos/nhl/svg/COL_dark.svg,82.1,77.86,75.85,79.66,56.04,76.85,80.88,69.74,107.0,0
8478444,Brock Boeser,Boeser,R,VAN,86,R,52.800000000000004,51.7,49.0,51.800000000000004,5,1,0,https://assets.nhle.com/mugs/nhl/20232024/VAN/8478444.png,https://assets.nhle.com/logos/nhl/svg/VAN_dark.svg,77.75,66.31,44.49,67.27,88.67,55.4,72.51,73.84,86.0,0
8480801,Brady Tkachuk,Tkachuk,L,OTT,81,L,55.900000000000006,54.900000000000006,56.00000000000001,57.599999999999994,2,1,0,https://assets.nhle.com/mugs/nhl/20232024/OTT/8480801.png,https://assets.nhle.com/logos/nhl/svg/OTT_dark.svg,91.95,85.06,88.98,95.66,56.04,87.02,93.8,76.66,70.0,1
8479414,Nathan Bastian,Bastian,R,NJD,54,R,48.5,48.4,44.800000000000004,45.4,1,0,0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8479414.png,https://assets.nhle.com/logos/nhl/svg/NJD_dark.svg,41.74,41.1,21.61,21.5,37.18,31.36,31.62,33.77,345.0,0
8480829,Jesperi Kotkaniemi,Kotkaniemi,C,CAR,84,L,60.9,60.8,59.4,60.4,0,0,0,https://assets.nhle.com/mugs/nhl/20232024/CAR/8480829.png,https://assets.nhle.com/logos/nhl/svg/CAR_dark.svg,98.94,98.62,97.88,99.15,13.45,98.25,99.04,64.57,137.0,1
8480025,MacKenzie Entwistle,Entwistle,R,CHI,67,R,43.7,46.2,43.8,42.199999999999996,1,0,0,https://assets.nhle.com/mugs/nhl/20232024/CHI/8480025.png,https://assets.nhle.com/logos/nhl/svg/CHI_dark.svg,13.24,28.39,16.63,8.47,37.18,22.51,10.86,24.88,384.0,0
8474102,David Perron,Perron,L,DET,76,R,47.099999999999994,45.7,45.2,46.6,4,0,0,https://assets.nhle.com/mugs/nhl/20232024/DET/8474102.png,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,30.83,25.95,23.52,29.24,81.78,24.74,30.03,49.14,248.0,0
8479314,Matthew Tkachuk,Tkachuk,L,FLA,85,L,56.8,58.8,55.60000000000001,54.0,3,0,1,https://assets.nhle.com/mugs/nhl/20232024/FLA/8479314.png,https://assets.nhle.com/logos/nhl/svg/FLA_dark.svg,95.02,95.76,86.97,83.58,71.08,91.36,89.3,82.63,44.0,1
8474679,Gustav Nyquist,Nyquist,C,NSH,86,L,51.5,54.400000000000006,54.6,51.5,4,0,1,https://assets.nhle.com/mugs/nhl/20232024/NSH/8474679.png,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,66.63,82.94,81.57,64.83,81.78,82.26,65.73,77.11,66.0,0
8478904,Steven Lorentz,Lorentz,C,FLA,42,L,51.4,52.1,52.2,52.7,2,0,0,https://assets.nhle.com/mugs/nhl/20232024/FLA/8478904.png,https://assets.nhle.com/logos/nhl/svg/FLA_dark.svg,65.25,70.23,67.48,75.0,56.04,68.86,70.12,64.11,143.0,0
